# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a000
# Description of the table:        HyperLeda compilations index
# Position on the sky:             J123620.8+255915
# Search in a box of size:         [25] arcmin
# Display the fields:              $objname,$L,$j2000,$link[objtype,objname],$link[type,objname],$link[vel,objname],$link[distance,objname],$link[flux,objname],$link[size,objname],$link[pos,objname],$link[sigma,objname],$link[a002,objname],$link[rot,objname],$link[name,objname],$link[coor,objname],$link[a004,objname],$link[a005,objname],$link[indices,objname],$link[col,objname],$link[a003,objname],$link[a009,objname],$link[a010,objname],$link[a011,objname],$link[parent,objname],pgc
# Order by:                        ra
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $link[objtype,objname]:  Type of object (G=galaxy; S=Star ...)
# $link[type,objname]: - Morphological type
# $link[vel,objname]: -- Heliocentric cz
# $link[distance,objname]:  True photometric distance modulus
# $link[flux,objname]: - Total magnitude
# $link[size,objname]: - Standard B-band size
# $link[pos,objname]: -- Position angle
# $link[sigma,objname]:  Central velocity dispersion
# $link[a002,objname]: - Maximum rotation velocity of stars
# $link[rot,objname]: -- Apparent maximum rotation velocity of gas
# $link[name,objname]: - Catalogue of designations
# $link[coor,objname]: - Catalogue of astrometry
# $link[a004,objname]: - Catalogue of integrate photometry
# $link[a005,objname]: - Catalogue of spatially resolved kinematics
# $link[indices,objname]:  Catalogue of central Mg2 line-strength
# $link[col,objname]: -- Catalogue of colour indexes
# $link[a003,objname]: - Catalogue of aperture photometry
# $link[a009,objname]: - Catalogue of kinematical profiles
# $link[a010,objname]: - Catalogue of line strength indices profiles
# $link[a011,objname]: - FITS archive
# $link[parent,objname]:  Hierarchy catalogue
# pgc: ----------------- PGC number
#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
$objname;$j2000;$link[objtype,objname];$link[type,objname];$link[vel,objname];$link[distance,objname];$link[flux,objname];$link[size,objname];$link[pos,objname];$link[sigma,objname];$link[a002,objname];$link[rot,objname];$link[name,objname];$link[coor,objname];$link[a004,objname];$link[a005,objname];$link[indices,objname];$link[col,objname];$link[a003,objname];$link[a009,objname];$link[a010,objname];$link[a011,objname];$link[parent,objname];pgc
#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
2MASXJ12343059+2600165;J123430.6+260017;G  ;E    ;  48174;     ;18.44 ;     16x13; 89;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3791608
SDSSJ123431.00+261551.5;J123431.0+261552;G  ;     ; 163639;     ;22.65 ;      size; 78;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425266
SDSSJ123432.04+255733.0;J123432.1+255733;G  ;     ; 132640;     ;21.97 ;      size; 75;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5647184
SDSSJ123433.05+254758.9;J123433.1+254759;g  ;     ;       ;     ;18.97 ;      10x7;122;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332549
SDSSJ123434.48+253646.3;J123434.5+253647;G  ;     ; 147984;     ;21.62 ;      size; 50;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627747
SDSSJ123434.79+260134.1;J123434.8+260134;G  ;     ; 133178;     ;21.60 ;      size; 78;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628089
SDSSJ123435.73+254238.3;J123435.8+254239;g  ;     ;       ;     ;19.78 ;      10x8; 23;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332584
SDSSJ123436.00+253725.8;J123436.0+253726;G  ;     ; 148002;     ;21.98 ;      size; 32;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627748
SDSSJ123440.83+255056.5;J123440.8+255057;G  ;     ; 179118;     ;22.66 ;      size; 63;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6423881
SDSSJ123442.06+254857.5;J123442.1+254858;G  ;     ;  61143;     ;19.17 ;      size;125;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5252656
