RA,DEC,NAME,MAGNITUDE,DIAMETER
188.627500,26.004722,PGC3791608,18.44,0.600000
188.629167,26.264444,PGC6425266,22.65,0.600000
188.633750,25.959167,PGC5647184,21.97,0.600000
188.637917,25.799722,PGC4332549,18.97,0.600000
188.643750,25.613056,PGC5627747,21.62,0.600000
188.645000,26.026111,PGC5628089,21.60,0.600000
188.649167,25.710833,PGC4332584,19.78,0.600000
188.650000,25.623889,PGC5627748,21.98,0.600000
188.670000,25.849167,PGC6423881,22.66,0.600000
188.675417,25.816111,PGC5252656,19.17,0.600000
188.682083,26.329722,PGC4332693,18.75,0.600000
188.685000,25.629167,PGC4332704,19.54,0.600000
188.688750,25.881667,PGC5647185,22.25,0.600000
188.691667,25.725000,PGC4332724,19.13,0.600000
188.695833,25.769722,PGC4332738,19.89,0.600000
188.696250,26.284167,PGC4332740,19.23,0.600000
188.700000,25.621111,PGC5245119,19.19,0.600000
188.705833,25.742778,PGC4332763,18.72,0.600000
188.708333,25.923889,PGC4332770,19.12,0.600000
188.709583,26.149444,PGC5083615,18.64,0.600000
188.710833,26.078611,PGC6425270,22.59,0.600000
188.717917,26.175000,PGC4332799,18.09,0.600000
188.722083,25.861389,PGC6423882,21.61,0.600000
188.723750,25.760556,PGC6423874,21.71,0.600000
188.732083,25.870556,PGC4332850,19.78,0.600000
188.733333,25.955556,PGC4332855,18.92,0.600000
188.739583,26.202222,PGC3791769,17.66,0.600000
188.742083,26.039722,PGC6425272,22.21,0.600000
188.743333,26.320278,PGC4332877,19.18,0.600000
188.746250,26.068056,PGC6425271,23.30,0.600000
188.748750,25.598056,PGC5245120,19.45,0.600000
188.755417,25.779722,PGC41891,16.01,0.600000
188.755833,25.584444,PGC4332913,19.11,0.600000
188.757917,25.623333,PGC4332918,19.31,0.600000
188.760000,26.311111,PGC4332925,19.76,0.600000
188.765417,26.088056,PGC6424179,22.33,0.600000
188.778333,25.579167,PGC4332972,19.35,0.600000
188.793750,25.668889,PGC5627749,21.21,0.600000
188.794583,25.821667,PGC3791852,17.44,0.600000
188.797917,25.710000,PGC5627751,22.01,0.600000
188.798750,25.665278,PGC5627752,21.65,0.600000
188.800833,26.043889,PGC4333038,19.12,0.600000
188.801250,26.176667,PGC5628091,21.83,0.600000
188.802500,26.169167,PGC5245215,21.01,0.600000
188.805417,26.172778,PGC5628092,22.47,0.600000
188.809167,25.706667,PGC5627753,21.76,0.600000
188.821250,25.605833,PGC6423869,21.75,0.600000
188.822083,26.188056,PGC5628093,21.81,0.600000
188.840000,25.937222,PGC5252676,19.93,0.600000
188.840417,26.201111,PGC4333174,19.89,0.600000
188.849167,26.230833,PGC6424178,20.78,0.600000
188.859167,25.802778,PGC6425257,21.64,0.600000
